Cpu_Intel,Cpu_AMD,Cpu_Quarter,Desktop_Intel,Desktop_AMD,Laptop_Intel,Laptop_AMD,Server_Intel,Server_AMD,Server_Quarter
74.4,25.6,Q3 2013,69.2,30.8,88,11.8,98.6,1.4,Q3 2017
74.8,25.2,Q4 2013,69.3,30.7,88.7,11.1,98.7,1.3,Q4 2017
73.7,26.2,Q1 2014,68.3,31.6,87.8,11.9,98.4,1.6,Q1 2018
75.2,24.7,Q2 2014,69.4,30.6,89.1,10.8,98.8,1.2,Q2 2018
76.3,23.6,Q3 2014,70.3,29.6,88.9,10.9,98.5,1.5,Q3 2018
76.6,23.4,Q4 2014,70.5,29.5,88.8,11.1,98.4,1.6,Q4 2018
76.4,23.5,Q1 2015,69.5,30.5,89.2,10.7,98.4,1.6,Q1 2019
76.8,23.1,Q2 2015,71.1,28.9,90.2,9.7,98.7,1.3,Q2 2019
77.3,22.7,Q3 2015,72.3,27.7,89.8,10.1,98.7,1.3,Q3 2019
79.6,20.4,Q4 2015,72.8,27.2,90.3,9.6,97.7,2.3,Q4 2019
79.8,20.1,Q1 2016,73.5,26.5,90.7,9.2,98.3,1.7,Q1 2020
80.6,19.4,Q2 2016,74.7,25.3,90.9,9.0,98.1,1.9,Q2 2020
82.5,17.5,Q3 2016,76.6,23.4,91.2,8.8,98.5,1.5,Q3 2020
82.2,17.8,Q4 2016,76.5,23.5,91.5,8.5,97.4,2.6,Q4 2020
81.9,18.1,Q1 2017,76.6,23.4,91.4,8.5,98.5,1.5,Q1 2021
79.7,20.2,Q2 2017,72.2,27.8,92.2,7.8,,,
77.6,22.3,Q3 2017,69.5,30.5,91.8,8.1,,,
78.9,21.1,Q4 2017,71.1,28.9,91.8,8.2,,,
79.8,20.2,Q1 2018,72.0,28.0,91.9,8.1,,,
79.2,20.7,Q2 2018,71.3,28.7,91.3,8.7,,,
79.1,20.9,Q3 2018,71.2,28.8,91.5,8.5,,,
77.1,22.9,Q4 2018,68.6,31.4,91.7,8.3,,,
76.8,23.1,Q1 2019,68.5,31.5,91.3,8.7,,,
76.8,23.1,Q2 2019,67.8,32.2,91.1,8.9,,,
68.8,31.2,Q3 2019,57.4,42.6,88.4,11.6,,,
68.4,31.5,Q4 2019,56.8,43.2,88.4,11.6,,,
66.7,33.2,Q1 2020,55.6,44.4,86.9,13.1,,,
64.9,35.0,Q2 2020,53.2,46.8,86.2,13.8,,,
62.7,37.3,Q3 2020,52.1,47.9,80.1,19.9,,,
61.4,38.6,Q4 2020,51.1,48.9,80.3,19.7,,,
60.4,39.6,Q1 2021,49.2,50.8,80.1,19.8,,,
